lat,lon,hour,travel_time_min,population
45.480894,8.984974,3,119.39,159.0
45.484792,8.984973,3,119.34,300.0
45.48869,8.984972,3,119.48,293.0
45.523768,8.984962,3,119.41,351.0
45.527666,8.984961,3,119.42,450.0
45.478946,8.989772,3,119.04,217.0
45.482844,8.989772,3,118.98,346.0
45.486741,8.989771,3,118.99,376.0
45.490639,8.98977,3,119.33,188.0
45.517922,8.989765,3,119.41,258.0
45.52182,8.989765,3,119.42,356.0
45.525717,8.989764,3,119.38,386.0
45.529615,8.989763,3,119.4,486.0
45.4731,8.994571,3,119.15,682.0
45.476998,8.994571,3,119.01,1001.0
45.480895,8.99457,3,118.94,937.0
45.484793,8.99457,3,118.82,771.0
45.48869,8.994569,3,118.86,766.0
45.508178,8.994568,3,119.68,165.0
45.512076,8.994567,3,119.69,288.0
45.519871,8.994566,3,119.39,369.0
45.523769,8.994566,3,119.36,369.0
45.527666,8.994566,3,119.36,489.0
45.531564,8.994565,3,119.4,518.0
45.471151,8.999369,3,119.41,137.0
45.475049,8.999369,3,119.0,1004.0
45.478946,8.999368,3,118.81,1004.0
45.482844,8.999368,3,118.8,806.0
45.486742,8.999368,3,118.83,771.0
45.490639,8.999368,3,118.81,401.0
45.510127,8.999368,3,119.67,270.0
45.517923,8.999368,3,119.41,335.0
45.52182,8.999368,3,119.38,369.0
45.525718,8.999368,3,119.36,400.0
45.529615,8.999368,3,119.39,518.0
45.4731,9.004166,3,119.12,421.0
45.476998,9.004166,3,118.97,616.0
45.480895,9.004167,3,118.57,664.0
45.484793,9.004167,3,118.57,843.0
45.48869,9.004167,3,118.62,845.0
45.504281,9.004168,3,119.76,116.0
45.508178,9.004169,3,119.69,223.0
45.512076,9.004169,3,119.67,442.0
45.515974,9.004169,3,119.69,439.0
45.519871,9.00417,3,119.42,270.0
45.523769,9.00417,3,119.39,268.0
45.527666,9.00417,3,119.39,229.0
45.531564,9.00417,3,119.42,209.0
45.535462,9.004171,3,119.24,291.0
45.539359,9.004171,3,119.25,417.0
45.475049,9.008964,3,119.04,167.0
45.478946,9.008965,3,118.99,167.0
45.482844,9.008965,3,118.73,789.0
45.486741,9.008966,3,118.46,918.0
45.490639,9.008967,3,119.1,522.0
45.502332,9.008968,3,119.4,130.0
45.506229,9.008969,3,119.79,130.0
45.510127,9.00897,3,119.67,499.0
45.514025,9.00897,3,119.69,546.0
45.53741,9.008974,3,119.17,382.0
45.476997,9.013762,3,119.17,167.0
45.480894,9.013763,3,118.78,343.0
45.484792,9.013764,3,118.46,918.0
45.48869,9.013765,3,118.77,918.0
45.500383,9.013768,3,119.4,114.0
45.50428,9.013769,3,119.28,134.0
45.508178,9.01377,3,119.69,263.0
45.512075,9.013771,3,119.69,540.0
45.535461,9.013777,3,119.13,213.0
45.539358,9.013778,3,119.18,421.0
45.543256,9.013778,3,119.19,427.0
45.482843,9.018562,3,119.11,623.0
45.48674,9.018563,3,118.77,758.0
45.490638,9.018565,3,119.1,627.0
45.494535,9.018566,3,119.05,460.0
45.498433,9.018567,3,119.42,487.0
45.502331,9.018569,3,118.83,650.0
45.506228,9.01857,3,119.04,656.0
45.510126,9.018571,3,119.51,257.0
45.529614,9.018578,3,119.15,548.0
45.533511,9.018579,3,119.12,552.0
45.537409,9.01858,3,119.12,674.0
45.541307,9.018581,3,119.19,685.0
45.480893,9.02336,3,119.35,174.0
45.484791,9.023361,3,119.09,727.0
45.488688,9.023363,3,118.75,727.0
45.492586,9.023365,3,118.54,529.0
45.496483,9.023366,3,118.53,521.0
45.500381,9.023368,3,118.9,648.0
45.504279,9.023369,3,118.9,713.0
45.508176,9.023371,3,119.02,556.0
45.512074,9.023373,3,118.89,146.0
45.515971,9.023374,3,119.47,146.0
45.527664,9.023379,3,119.21,446.0
45.531562,9.023381,3,118.83,570.0
45.535459,9.023382,3,118.78,612.0
45.539357,9.023384,3,119.2,691.0
45.404888,9.02812,3,119.83,115.0
45.482841,9.028159,3,119.33,478.0
45.486738,9.028161,3,118.95,607.0
45.490636,9.028163,3,118.69,575.0
45.494533,9.028165,3,118.6,557.0
45.498431,9.028167,3,118.9,569.0
45.502329,9.028169,3,118.87,592.0
45.506226,9.028171,3,118.58,584.0
45.510124,9.028173,3,118.79,247.0
45.514021,9.028175,3,119.45,181.0
45.517919,9.028177,3,119.45,207.0
45.529612,9.028182,3,118.68,788.0
45.533509,9.028184,3,118.63,797.0
45.537407,9.028186,3,118.64,634.0
45.541305,9.028188,3,118.81,616.0
45.402938,9.032911,3,119.83,665.0
45.406835,9.032913,3,119.82,674.0
45.410733,9.032916,3,119.68,174.0
45.445812,9.032936,3,119.69,188.0
45.44971,9.032938,3,119.69,385.0
45.453607,9.03294,3,119.7,348.0
45.492583,9.032963,3,118.62,658.0
45.496481,9.032965,3,118.87,697.0
45.500379,9.032968,3,119.05,380.0
45.504276,9.03297,3,119.04,196.0
45.508174,9.032972,3,118.8,215.0
45.512071,9.032975,3,119.44,273.0
45.515969,9.032977,3,119.42,273.0
45.519867,9.032979,3,118.88,532.0
45.523764,9.032981,3,119.31,535.0
45.527662,9.032984,3,118.43,1015.0
45.531559,9.032986,3,118.4,1214.0
45.535457,9.032988,3,118.63,982.0
45.539355,9.03299,3,118.35,495.0
45.543252,9.032993,3,118.9,481.0
45.404885,9.037704,3,119.83,756.0
45.408783,9.037707,3,119.58,627.0
45.447759,9.037732,3,119.65,385.0
45.451657,9.037735,3,119.7,394.0
45.455554,9.037738,3,119.71,186.0
45.490633,9.037761,3,118.13,296.0
45.494531,9.037764,3,118.55,697.0
45.498428,9.037766,3,118.61,663.0
45.502326,9.037769,3,119.26,196.0
45.506224,9.037772,3,119.26,196.0
45.514019,9.037777,3,119.44,273.0
