lat,lon,hour,travel_time_min,population
45.547134,8.931562,8,20.8,337.0
45.545188,8.936368,8,16.2,279.0
45.549085,8.936363,8,12.1,340.0
45.552983,8.936359,8,5.17,364.0
45.556881,8.936354,8,5.88,396.0
45.560778,8.93635,8,4.18,436.0
45.564676,8.936346,8,8.81,668.0
45.568573,8.936341,8,13.95,666.0
45.500368,8.941218,8,9.3,521.0
45.504266,8.941214,8,4.18,590.0
45.508163,8.94121,8,2.17,444.0
45.512061,8.941206,8,7.66,309.0
45.531549,8.941186,8,13.6,165.0
45.535447,8.941181,8,8.91,183.0
45.539344,8.941177,8,10.22,197.0
45.543242,8.941173,8,11.22,276.0
45.547139,8.941169,8,11.38,539.0
45.551037,8.941165,8,7.56,541.0
45.554934,8.941161,8,1.08,926.0
45.558832,8.941157,8,3.82,944.0
45.56273,8.941153,8,3.02,588.0
45.566627,8.941149,8,8.83,400.0
45.57832,8.941137,8,12.49,183.0
45.582217,8.941133,8,6.89,803.0
45.586115,8.941129,8,4.24,806.0
45.590012,8.941125,8,7.0,734.0
45.482831,8.946035,8,10.7,676.0
45.486729,8.946031,8,8.08,698.0
45.490627,8.946027,8,4.63,341.0
45.494524,8.946024,8,9.42,157.0
45.498422,8.94602,8,10.17,300.0
45.502319,8.946016,8,5.08,672.0
45.506217,8.946012,8,1.61,671.0
45.510115,8.946009,8,6.61,359.0
45.514012,8.946005,8,11.19,359.0
45.5335,8.945986,8,12.1,184.0
45.537398,8.945983,8,10.57,221.0
45.541295,8.945979,8,8.98,221.0
45.545193,8.945975,8,9.34,490.0
45.54909,8.945971,8,7.19,559.0
45.552988,8.945968,8,1.16,739.0
45.556886,8.945964,8,0.9,979.0
45.560783,8.94596,8,2.79,921.0
45.564681,8.945956,8,6.68,388.0
45.568578,8.945953,8,13.25,388.0
45.576373,8.945945,8,10.36,171.0
45.580271,8.945941,8,4.61,499.0
45.584168,8.945938,8,2.88,813.0
45.588066,8.945934,8,4.74,796.0
45.591964,8.94593,8,2.13,705.0
45.595861,8.945926,8,4.94,705.0
45.599759,8.945923,8,6.62,310.0
45.476987,8.950838,8,12.47,152.0
45.480885,8.950835,8,6.4,375.0
45.484782,8.950831,8,4.9,706.0
45.48868,8.950828,8,2.86,661.0
45.492578,8.950825,8,6.27,162.0
45.496475,8.950821,8,14.86,163.0
45.50427,8.950814,8,5.84,617.0
45.508168,8.950811,8,6.35,467.0
45.512066,8.950808,8,13.63,314.0
45.535451,8.950787,8,7.01,201.0
45.539349,8.950784,8,3.29,244.0
45.543246,8.95078,8,3.63,297.0
45.547144,8.950777,8,9.44,475.0
45.551041,8.950774,8,5.78,471.0
45.554939,8.95077,8,3.3,810.0
45.558837,8.950767,8,1.86,820.0
45.562734,8.950763,8,5.83,526.0
45.566632,8.95076,8,11.27,367.0
45.574427,8.950753,8,12.98,116.0
45.578324,8.95075,8,4.44,113.0
45.582222,8.950746,8,1.24,636.0
45.586119,8.950743,8,9.72,631.0
45.590017,8.95074,8,2.92,671.0
45.593915,8.950736,8,0.26,687.0
45.597812,8.950733,8,0.58,517.0
45.482835,8.955632,8,7.0,787.0
45.486733,8.955628,8,5.89,838.0
45.490631,8.955625,8,7.35,450.0
45.494528,8.955622,8,8.82,224.0
45.498426,8.955619,8,12.87,207.0
45.506221,8.955613,8,9.13,160.0
45.537402,8.955589,8,3.46,317.0
45.541299,8.955586,8,4.38,317.0
45.545197,8.955583,8,7.35,258.0
45.549095,8.955579,8,8.56,240.0
45.552992,8.955576,8,0.52,328.0
45.55689,8.955573,8,4.41,460.0
45.560787,8.95557,8,5.66,449.0
45.564685,8.955567,8,7.61,326.0
45.568582,8.955564,8,6.08,326.0
45.580275,8.955555,8,7.43,187.0
45.584173,8.955552,8,7.88,369.0
45.58807,8.955549,8,6.32,409.0
45.591968,8.955546,8,2.85,664.0
45.595865,8.955543,8,1.75,664.0
45.599763,8.955539,8,5.77,147.0
45.480888,8.960431,8,9.53,321.0
45.484786,8.960429,8,4.63,842.0
45.488684,8.960426,8,7.52,800.0
45.492581,8.960423,8,8.99,225.0
45.496479,8.96042,8,16.11,225.0
45.504274,8.960415,8,5.72,157.0
45.539352,8.96039,8,8.94,317.0
45.54325,8.960388,8,8.78,303.0
45.547148,8.960385,8,6.8,240.0
45.551045,8.960382,8,6.41,240.0
45.554943,8.960379,8,0.86,446.0
45.55884,8.960377,8,8.88,460.0
45.562738,8.960374,8,11.0,377.0
45.566635,8.960371,8,2.52,326.0
45.570533,8.960368,8,3.73,251.0
45.582226,8.96036,8,14.1,362.0
45.586123,8.960357,8,11.45,369.0
45.590021,8.960355,8,8.35,575.0
45.593918,8.960352,8,7.91,664.0
45.597816,8.960349,8,9.92,483.0
45.482839,8.965228,8,7.89,698.0
45.486736,8.965226,8,4.96,754.0
45.490634,8.965224,8,4.1,545.0
45.494532,8.965221,8,8.67,414.0
45.498429,8.965219,8,18.31,368.0
45.502327,8.965216,8,14.33,181.0
45.506224,8.965214,8,4.33,182.0
45.5452,8.96519,8,7.18,405.0
45.549098,8.965188,8,0.6,479.0
45.552995,8.965185,8,7.07,457.0
45.556893,8.965183,8,5.96,411.0
45.560791,8.96518,8,10.19,398.0
45.564688,8.965178,8,4.76,209.0
45.568586,8.965176,8,3.94,206.0
45.580278,8.965168,8,24.84,100.0
45.584176,8.965166,8,17.32,148.0
45.588074,8.965163,8,13.02,154.0
45.591971,8.965161,8,13.91,247.0
45.480891,8.970028,8,5.38,216.0
45.484789,8.970026,8,7.3,605.0
45.488687,8.970024,8,3.36,610.0
45.492584,8.970022,8,2.5,698.0
45.496482,8.97002,8,8.49,698.0
45.500379,8.970018,8,21.5,310.0
45.504277,8.970015,8,12.75,213.0
45.508175,8.970013,8,6.17,186.0
45.512072,8.970011,8,10.84,151.0
45.51597,8.970009,8,16.43,136.0
45.543253,8.969995,8,10.18,212.0
45.54715,8.969993,8,4.58,633.0
45.551048,8.969991,8,2.47,633.0
45.554946,8.969989,8,2.23,405.0
45.558843,8.969986,8,9.26,384.0
45.562741,8.969984,8,2.03,245.0
45.566638,8.969982,8,8.81,150.0
45.570536,8.96998,8,10.95,133.0
45.590024,8.96997,8,7.99,106.0
45.482841,8.974825,8,8.96,547.0
45.486739,8.974824,8,10.39,605.0
45.490637,8.974822,8,6.35,659.0
45.494534,8.97482,8,8.42,698.0
45.498432,8.974818,8,11.95,599.0
45.506227,8.974815,8,2.23,213.0
45.510125,8.974813,8,7.41,154.0
45.514022,8.974811,8,14.65,151.0
45.541305,8.974799,8,0.59,133.0
45.545203,8.974797,8,7.4,490.0
45.5491,8.974796,8,4.54,626.0
45.552998,8.974794,8,4.06,539.0
45.556896,8.974792,8,2.87,386.0
45.560793,8.97479,8,11.57,376.0
45.564691,8.974789,8,9.13,156.0
45.568588,8.974787,8,13.0,157.0
45.572486,8.974785,8,10.18,105.0
45.43802,8.97964,8,10.5,158.0
45.441917,8.979638,8,4.27,172.0
45.445815,8.979637,8,6.2,126.0
45.484791,8.979623,8,10.55,391.0
45.488689,8.979622,8,10.55,380.0
45.492586,8.97962,8,9.49,197.0
45.496484,8.979619,8,13.88,187.0
45.51987,8.97961,8,17.77,293.0
45.53546,8.979605,8,9.95,283.0
45.539357,8.979603,8,8.95,138.0
45.543255,8.979602,8,10.29,151.0
45.547153,8.9796,8,9.73,263.0
45.55105,8.979599,8,2.12,259.0
45.554948,8.979598,8,5.21,428.0
45.558845,8.979596,8,7.78,452.0
45.562743,8.979595,8,14.96,361.0
45.56664,8.979593,8,10.67,293.0
45.570538,8.979592,8,12.11,301.0
45.574436,8.979591,8,5.06,329.0
45.578333,8.979589,8,3.23,330.0
45.436071,8.984435,8,10.67,125.0
45.439969,8.984434,8,5.47,316.0
45.443867,8.984433,8,3.2,305.0
45.447764,8.984432,8,10.09,159.0
45.451662,8.984431,8,14.61,159.0
45.482843,8.984422,8,4.95,276.0
45.486741,8.984421,8,6.6,300.0
45.490638,8.98442,8,10.56,143.0
45.517921,8.984412,8,13.32,234.0
45.521819,8.984411,8,8.81,351.0
45.525717,8.98441,8,11.9,380.0
45.529614,8.984409,8,10.05,471.0
45.533512,8.984408,8,11.77,471.0
45.537409,8.984407,8,5.33,144.0
45.541307,8.984406,8,5.38,138.0
45.545205,8.984405,8,9.63,204.0
45.549102,8.984404,8,10.16,232.0
45.553,8.984403,8,6.07,302.0
45.556897,8.984402,8,11.87,456.0
45.560795,8.984401,8,13.0,452.0
45.564692,8.9844,8,6.94,298.0
45.56859,8.984398,8,5.61,298.0
45.572488,8.984397,8,8.97,326.0
45.576385,8.984396,8,5.13,335.0
45.580283,8.984395,8,7.17,228.0
45.438021,8.989229,8,9.15,292.0
45.441918,8.989228,8,7.88,316.0
45.445816,8.989228,8,8.93,220.0
45.449714,8.989227,8,14.01,158.0
45.476997,8.989222,8,7.5,138.0
45.480895,8.989221,8,4.73,204.0
45.484792,8.98922,8,2.01,330.0
45.48869,8.989219,8,7.73,330.0
45.519871,8.989214,8,11.24,354.0
45.523768,8.989213,8,3.99,354.0
45.527666,8.989212,8,3.92,458.0
45.531564,8.989211,8,4.69,481.0
45.535461,8.989211,8,6.33,358.0
45.539359,8.98921,8,2.51,215.0
45.543256,8.989209,8,5.67,221.0
45.547154,8.989208,8,5.56,207.0
45.551051,8.989208,8,4.54,205.0
45.554949,8.989207,8,10.01,365.0
45.558847,8.989206,8,14.96,386.0
45.562744,8.989205,8,8.94,302.0
45.566642,8.989205,8,0.97,229.0
45.570539,8.989204,8,6.38,225.0
45.574437,8.989203,8,11.67,210.0
45.578334,8.989202,8,11.63,205.0
45.609515,8.989196,8,10.43,279.0
45.613412,8.989196,8,5.05,292.0
45.61731,8.989195,8,11.25,128.0
45.43997,8.994024,8,7.5,145.0
45.443868,8.994023,8,1.25,140.0
45.471151,8.99402,8,8.61,145.0
45.475049,8.99402,8,2.21,967.0
45.478946,8.994019,8,5.44,973.0
45.482844,8.994019,8,3.98,790.0
45.486742,8.994019,8,4.17,761.0
45.490639,8.994018,8,10.45,385.0
45.510127,8.994016,8,9.65,272.0
45.514025,8.994016,8,13.62,288.0
45.517922,8.994015,8,12.75,337.0
45.52182,8.994015,8,6.09,369.0
45.525718,8.994014,8,0.94,402.0
45.529615,8.994014,8,3.33,518.0
45.533513,8.994014,8,2.89,518.0
45.53741,8.994013,8,8.59,451.0
45.541308,8.994013,8,1.17,448.0
45.545205,8.994012,8,5.14,242.0
45.549103,8.994012,8,0.79,142.0
45.553001,8.994012,8,6.13,169.0
45.556898,8.994011,8,12.13,237.0
45.560796,8.994011,8,6.66,235.0
45.564693,8.99401,8,8.3,100.0
45.568591,8.99401,8,5.58,100.0
45.607566,8.994006,8,12.01,297.0
45.611464,8.994005,8,5.33,544.0
45.615361,8.994005,8,5.66,494.0
45.438021,8.998818,8,6.4,116.0
45.441919,8.998818,8,3.12,119.0
45.4731,8.998818,8,6.9,674.0
45.476998,8.998818,8,3.14,1004.0
45.480895,8.998817,8,2.27,940.0
45.484793,8.998817,8,1.95,771.0
45.488691,8.998817,8,6.41,770.0
45.508179,8.998817,8,11.97,163.0
45.512076,8.998817,8,7.13,288.0
45.515974,8.998817,8,16.48,292.0
45.519871,8.998817,8,9.39,369.0
45.523769,8.998817,8,4.06,369.0
45.527667,8.998817,8,3.4,487.0
45.531564,8.998816,8,8.56,518.0
45.535462,8.998816,8,9.15,488.0
45.539359,8.998816,8,5.59,448.0
45.543257,8.998816,8,4.84,419.0
45.547154,8.998816,8,2.8,142.0
45.551052,8.998816,8,9.45,142.0
45.55495,8.998816,8,10.77,223.0
45.558847,8.998816,8,4.84,237.0
45.562745,8.998816,8,1.45,168.0
45.566642,8.998816,8,9.35,100.0
45.60172,8.998815,8,6.18,101.0
45.605618,8.998815,8,7.2,101.0
45.609515,8.998815,8,8.68,526.0
45.613413,8.998815,8,0.59,544.0
45.61731,8.998815,8,10.26,242.0
45.471151,9.003615,8,10.96,114.0
45.475049,9.003615,8,5.57,719.0
45.478946,9.003616,8,8.37,706.0
45.482844,9.003616,8,5.68,809.0
45.486742,9.003616,8,4.43,827.0
45.490639,9.003616,8,8.87,450.0
45.502332,9.003617,8,4.65,112.0
45.50623,9.003617,8,14.56,112.0
45.510127,9.003618,8,1.15,380.0
45.514025,9.003618,8,11.45,414.0
45.517922,9.003618,8,14.64,345.0
45.52182,9.003618,8,9.29,287.0
45.525718,9.003619,8,8.58,282.0
45.529615,9.003619,8,8.14,266.0
45.533513,9.003619,8,12.05,259.0
45.53741,9.003619,8,17.43,413.0
45.541308,9.00362,8,5.65,422.0
45.545206,9.00362,8,0.03,363.0
45.549103,9.00362,8,6.21,337.0
45.553001,9.00362,8,11.99,303.0
45.556898,9.003621,8,8.36,202.0
45.560796,9.003621,8,5.4,201.0
45.603669,9.003624,8,3.72,106.0
45.607566,9.003624,8,6.98,333.0
45.611464,9.003624,8,4.42,657.0
45.615362,9.003624,8,6.54,617.0
45.619259,9.003625,8,9.28,198.0
45.623157,9.003625,8,14.37,199.0
45.414635,9.008404,8,7.19,144.0
45.4731,9.008413,8,14.56,127.0
45.476997,9.008413,8,11.03,167.0
45.480895,9.008414,8,7.11,353.0
45.484793,9.008415,8,1.93,918.0
45.48869,9.008415,8,3.72,918.0
45.500383,9.008417,8,2.57,112.0
45.504281,9.008417,8,10.91,130.0
45.508178,9.008418,8,8.07,262.0
45.512076,9.008419,8,13.06,546.0
45.515973,9.008419,8,13.27,537.0
45.519871,9.00842,8,18.79,211.0
45.535461,9.008422,8,15.28,193.0
45.539359,9.008423,8,10.93,403.0
45.543257,9.008423,8,5.89,407.0
45.547154,9.008424,8,7.84,456.0
45.551052,9.008424,8,9.89,456.0
45.554949,9.008425,8,9.04,229.0
45.558847,9.008426,8,8.35,183.0
45.562744,9.008426,8,9.03,118.0
45.593925,9.008431,8,10.39,151.0
45.597822,9.008431,8,10.25,143.0
45.60172,9.008432,8,11.0,107.0
45.605617,9.008433,8,5.45,107.0
45.609515,9.008433,8,1.66,643.0
45.613412,9.008434,8,1.87,676.0
45.61731,9.008434,8,2.65,381.0
45.621208,9.008435,8,7.4,212.0
45.412686,9.013196,8,7.14,145.0
45.416583,9.013197,8,2.31,145.0
45.478946,9.013212,8,9.97,167.0
45.482843,9.013213,8,5.46,781.0
45.486741,9.013214,8,1.13,918.0
45.490639,9.013215,8,4.42,533.0
45.502331,9.013217,8,14.82,130.0
45.506229,9.013218,8,15.42,130.0
45.510127,9.013219,8,7.79,495.0
45.514024,9.01322,8,8.97,546.0
45.517922,9.013221,8,14.64,366.0
45.53741,9.013226,8,9.21,382.0
45.541307,9.013226,8,8.75,407.0
45.545205,9.013227,8,3.13,437.0
45.549102,9.013228,8,5.86,457.0
45.553,9.013229,8,5.97,392.0
45.556898,9.01323,8,3.19,197.0
45.560795,9.013231,8,7.11,200.0
45.591976,9.013238,8,8.17,193.0
45.595873,9.013239,8,6.23,198.0
45.599771,9.01324,8,7.32,162.0
45.603668,9.013241,8,5.43,155.0
45.615361,9.013244,8,3.56,563.0
45.619258,9.013245,8,4.56,291.0
45.623156,9.013246,8,11.9,296.0
45.627053,9.013247,8,12.04,153.0
45.480894,9.018011,8,7.4,228.0
45.484791,9.018012,8,1.88,781.0
45.488689,9.018013,8,2.99,778.0
45.492587,9.018014,8,8.99,416.0
45.496484,9.018016,8,9.33,413.0
45.500382,9.018017,8,10.88,528.0
45.50428,9.018018,8,9.2,591.0
45.508177,9.018019,8,3.65,478.0
45.512075,9.01802,8,3.58,218.0
45.515972,9.018022,8,23.25,212.0
45.51987,9.018023,8,23.5,123.0
45.527665,9.018025,8,11.6,399.0
45.531563,9.018027,8,4.39,512.0
45.53546,9.018028,8,3.06,569.0
45.539358,9.018029,8,4.46,666.0
45.543255,9.01803,8,5.71,657.0
45.547153,9.018032,8,2.56,487.0
45.551051,9.018033,8,5.65,487.0
45.554948,9.018034,8,2.45,538.0
45.558846,9.018035,8,5.08,558.0
45.562743,9.018037,8,2.93,531.0
45.566641,9.018038,8,8.52,496.0
45.570538,9.018039,8,6.63,493.0
45.574436,9.01804,8,8.88,449.0
45.578334,9.018042,8,8.06,451.0
45.582231,9.018043,8,14.32,151.0
45.586129,9.018044,8,13.19,106.0
45.590026,9.018045,8,11.72,306.0
45.593924,9.018047,8,4.03,486.0
45.597821,9.018048,8,0.57,471.0
45.601719,9.018049,8,2.61,395.0
45.605616,9.01805,8,4.0,395.0
45.617309,9.018054,8,10.35,448.0
45.621206,9.018055,8,3.52,562.0
45.625104,9.018057,8,3.57,542.0
45.629001,9.018058,8,8.63,473.0
45.632899,9.018059,8,13.02,473.0
45.377605,9.022767,8,4.96,141.0
45.381503,9.022769,8,2.95,123.0
45.404889,9.022778,8,7.92,114.0
45.482842,9.02281,8,7.84,583.0
45.486739,9.022811,8,2.88,727.0
45.490637,9.022813,8,4.79,639.0
45.494535,9.022814,8,7.33,521.0
45.498432,9.022816,8,4.02,540.0
45.50233,9.022817,8,7.66,713.0
45.506227,9.022819,8,3.85,713.0
45.510125,9.022821,8,5.56,228.0
45.514023,9.022822,8,25.05,146.0
45.525715,9.022827,8,11.23,179.0
45.529613,9.022828,8,5.95,570.0
45.533511,9.02283,8,2.16,570.0
45.537408,9.022832,8,6.78,681.0
45.541306,9.022833,8,13.66,691.0
45.545203,9.022835,8,6.08,572.0
45.549101,9.022836,8,4.21,489.0
45.552999,9.022838,8,7.15,507.0
45.556896,9.02284,8,2.98,575.0
45.560794,9.022841,8,5.27,575.0
45.564691,9.022843,8,8.76,512.0
45.568589,9.022844,8,2.92,510.0
45.572486,9.022846,8,3.95,475.0
45.576384,9.022847,8,3.73,457.0
45.580281,9.022849,8,5.09,358.0
45.584179,9.022851,8,1.91,106.0
45.588077,9.022852,8,5.35,109.0
45.591974,9.022854,8,6.4,487.0
45.595872,9.022855,8,1.71,487.0
45.599769,9.022857,8,3.2,419.0
45.603667,9.022859,8,4.29,395.0
45.611462,9.022862,8,0.33,270.0
45.615359,9.022863,8,6.04,286.0
45.619257,9.022865,8,5.99,562.0
45.623154,9.022866,8,4.99,562.0
45.627052,9.022868,8,2.97,490.0
45.630949,9.02287,8,7.78,473.0
45.634847,9.022871,8,12.92,267.0
45.375655,9.027556,8,5.52,140.0
45.379553,9.027558,8,2.41,141.0
45.402939,9.027569,8,14.92,114.0
45.406837,9.027571,8,7.86,114.0
45.48479,9.027609,8,6.39,677.0
45.488687,9.027611,8,1.25,670.0
45.492585,9.027613,8,5.76,548.0
45.496482,9.027615,8,1.97,539.0
45.50038,9.027617,8,4.27,606.0
45.504278,9.027619,8,2.56,646.0
45.508175,9.02762,8,5.68,504.0
45.512073,9.027622,8,12.49,166.0
45.51597,9.027624,8,14.32,168.0
45.523766,9.027628,8,10.21,194.0
45.527663,9.02763,8,5.23,569.0
45.531561,9.027632,8,4.79,719.0
45.535458,9.027634,8,8.34,706.0
45.539356,9.027636,8,9.3,640.0
45.543254,9.027638,8,13.39,627.0
45.547151,9.027639,8,9.05,367.0
45.551049,9.027641,8,11.35,361.0
45.554946,9.027643,8,4.29,420.0
45.558844,9.027645,8,5.61,432.0
45.562741,9.027647,8,1.51,474.0
45.566639,9.027649,8,4.68,549.0
45.570536,9.027651,8,0.58,543.0
45.574434,9.027653,8,0.29,460.0
45.578332,9.027655,8,3.9,461.0
45.582229,9.027657,8,5.62,124.0
45.590024,9.027661,8,9.7,179.0
45.593922,9.027662,8,7.3,291.0
45.597819,9.027664,8,5.59,278.0
45.601717,9.027666,8,1.14,232.0
45.605614,9.027668,8,4.67,228.0
45.609512,9.02767,8,9.31,190.0
45.613409,9.027672,8,6.61,185.0
45.617307,9.027674,8,8.09,430.0
45.621205,9.027676,8,2.29,611.0
45.625102,9.027678,8,2.19,689.0
45.629,9.02768,8,4.39,978.0
45.632897,9.027682,8,6.36,990.0
45.64459,9.027687,8,20.82,104.0
45.400989,9.03236,8,5.36,333.0
45.404887,9.032362,8,4.06,597.0
45.408784,9.032364,8,6.59,488.0
45.447761,9.032386,8,1.86,353.0
45.451658,9.032389,8,5.71,362.0
45.455556,9.032391,8,2.65,172.0
45.490635,9.032411,8,3.76,314.0
45.494532,9.032413,8,5.32,696.0
45.49843,9.032415,8,5.59,657.0
45.502328,9.032418,8,3.33,197.0
45.506225,9.03242,8,8.37,196.0
45.510123,9.032422,8,18.87,260.0
45.51402,9.032424,8,13.31,273.0
45.517918,9.032427,8,8.68,398.0
45.521816,9.032429,8,5.79,535.0
45.525713,9.032431,8,6.64,625.0
45.529611,9.032433,8,0.91,1214.0
45.533508,9.032436,8,1.91,1214.0
45.537406,9.032438,8,2.43,572.0
45.541303,9.03244,8,7.96,495.0
45.545201,9.032442,8,11.04,257.0
45.556894,9.032449,8,7.62,148.0
45.560791,9.032451,8,3.19,148.0
45.564689,9.032453,8,2.78,590.0
45.568586,9.032456,8,9.86,617.0
45.572484,9.032458,8,4.25,520.0
45.576382,9.03246,8,7.88,465.0
45.580279,9.032462,8,12.51,347.0
45.611459,9.03248,8,2.74,112.0
45.615357,9.032483,8,2.74,131.0
45.619254,9.032485,8,3.3,648.0
45.623152,9.032487,8,3.47,648.0
45.62705,9.032489,8,2.44,1168.0
45.630947,9.032492,8,4.3,1314.0
45.634845,9.032494,8,4.98,965.0
45.402936,9.037152,8,2.16,756.0
45.406834,9.037155,8,1.7,756.0
45.410732,9.037158,8,3.08,191.0
45.445811,9.037181,8,5.03,188.0
45.449708,9.037183,8,4.06,394.0
45.453606,9.037186,8,3.17,358.0
45.492582,9.037211,8,9.67,653.0
45.49648,9.037214,8,8.91,697.0
45.500377,9.037216,8,8.83,386.0
45.504275,9.037219,8,8.75,196.0
45.515968,9.037227,8,12.72,273.0
45.519865,9.037229,8,2.77,530.0
45.523763,9.037232,8,2.54,535.0
45.52766,9.037234,8,2.43,1007.0
45.531558,9.037237,8,0.59,1214.0
45.535456,9.03724,8,4.17,991.0
45.539353,9.037242,8,7.19,495.0
45.543251,9.037245,8,12.68,485.0
45.558841,9.037255,8,6.61,148.0
45.562739,9.037258,8,7.46,329.0
45.566636,9.03726,8,11.43,617.0
45.570534,9.037263,8,10.6,606.0
45.574431,9.037265,8,9.2,465.0
45.578329,9.037268,8,13.44,465.0
45.609509,9.037289,8,0.01,107.0
45.613407,9.037291,8,3.05,112.0
45.617304,9.037294,8,8.79,408.0
45.621202,9.037296,8,0.82,651.0
45.625099,9.037299,8,1.69,776.0
45.628997,9.037301,8,2.73,1308.0
45.632894,9.037304,8,3.15,1306.0
45.636792,9.037307,8,4.1,507.0
45.644587,9.037312,8,10.5,168.0
45.400986,9.041943,8,18.01,381.0
45.404884,9.041946,8,6.41,698.0
45.408781,9.041948,8,3.08,573.0
45.447758,9.041977,8,9.33,293.0
45.451655,9.04198,8,9.33,298.0
45.455553,9.041983,8,3.37,155.0
45.486734,9.042006,8,13.86,219.0
45.490632,9.042009,8,6.66,374.0
45.494529,9.042012,8,4.08,623.0
45.498427,9.042015,8,6.42,590.0
45.502324,9.042018,8,12.3,121.0
45.506222,9.042021,8,13.47,119.0
45.514017,9.042027,8,11.02,207.0
45.517915,9.042029,8,6.14,366.0
45.521812,9.042032,8,2.74,568.0
45.52571,9.042035,8,1.0,639.0
45.529608,9.042038,8,0.03,1199.0
45.533505,9.042041,8,3.97,1199.0
45.537403,9.042044,8,7.72,438.0
45.5413,9.042047,8,7.72,321.0
45.545198,9.04205,8,7.72,297.0
45.549095,9.042053,8,5.91,287.0
45.552993,9.042056,8,9.89,249.0
45.564686,9.042064,8,11.59,181.0
45.568583,9.042067,8,17.17,180.0
45.572481,9.04207,8,13.81,161.0
45.576378,9.042073,8,15.0,150.0
45.580276,9.042076,8,12.46,132.0
45.591969,9.042085,8,3.55,612.0
45.595866,9.042088,8,6.22,639.0
45.599764,9.04209,8,9.35,540.0
45.603661,9.042093,8,8.36,494.0
45.607559,9.042096,8,6.28,371.0
45.615354,9.042102,8,1.45,108.0
45.619251,9.042105,8,6.96,956.0
45.623149,9.042108,8,1.81,960.0
