lat,lon,hour,travel_time_min,population
48.626832,1.819179,3,119.68,174.0
48.630726,1.819088,3,119.93,198.0
48.634621,1.818998,3,119.01,391.0
48.638516,1.818907,3,118.99,445.0
48.64241,1.818816,3,118.98,558.0
48.646305,1.818725,3,118.98,671.0
48.624937,1.824313,3,119.66,128.0
48.628831,1.824222,3,119.65,229.0
48.632726,1.824132,3,118.99,270.0
48.636621,1.824041,3,118.98,450.0
48.640515,1.82395,3,118.96,450.0
48.64441,1.82386,3,118.96,656.0
48.648304,1.823769,3,118.97,671.0
48.652199,1.823679,3,118.99,440.0
48.656094,1.823588,3,119.01,294.0
48.626936,1.829355,3,119.02,205.0
48.63083,1.829265,3,119.0,194.0
48.634725,1.829175,3,118.97,399.0
48.63862,1.829085,3,118.96,523.0
48.642514,1.828995,3,118.95,584.0
48.646409,1.828905,3,118.96,689.0
48.650304,1.828814,3,118.95,688.0
48.654198,1.828724,3,118.99,212.0
48.512094,1.837081,3,119.93,183.0
48.515988,1.836992,3,119.93,183.0
48.523778,1.836814,3,119.94,100.0
48.636724,1.834219,3,118.96,631.0
48.640619,1.834129,3,118.95,631.0
48.644513,1.834039,3,118.94,685.0
48.648408,1.83395,3,118.95,700.0
48.652303,1.83386,3,118.95,495.0
48.656197,1.83377,3,118.99,194.0
48.660092,1.83368,3,119.01,179.0
48.780824,1.830885,3,120.0,108.0
48.510197,1.842202,3,119.94,237.0
48.514092,1.842113,3,119.93,252.0
48.517987,1.842025,3,119.93,160.0
48.521882,1.841936,3,119.94,105.0
48.634828,1.839353,3,119.65,321.0
48.638723,1.839263,3,118.97,631.0
48.642617,1.839174,3,118.95,640.0
48.646512,1.839085,3,118.95,692.0
48.650407,1.838995,3,118.96,671.0
48.654301,1.838906,3,118.96,232.0
48.681564,1.838279,3,119.91,158.0
48.685458,1.83819,3,119.86,187.0
48.689353,1.8381,3,119.85,149.0
48.693248,1.83801,3,119.86,119.0
48.512196,1.847234,3,119.94,250.0
48.51609,1.847146,3,119.93,238.0
48.636827,1.844397,3,118.99,237.0
48.640721,1.844308,3,118.99,192.0
48.644616,1.844219,3,118.95,261.0
48.648511,1.84413,3,118.97,319.0
48.652405,1.844041,3,119.01,248.0
48.683562,1.843328,3,119.85,193.0
48.687457,1.843239,3,119.91,193.0
48.691352,1.84315,3,119.85,120.0
48.695246,1.84306,3,119.12,119.0
48.646614,1.849265,3,118.96,299.0
48.650509,1.849176,3,118.97,301.0
48.654404,1.849087,3,118.98,122.0
48.681666,1.848466,3,119.86,127.0
48.685561,1.848377,3,119.85,157.0
48.689455,1.848289,3,119.1,187.0
48.69335,1.8482,3,119.1,291.0
48.697245,1.848111,3,119.13,303.0
48.907551,1.843284,3,119.91,249.0
48.911445,1.843194,3,119.9,292.0
48.91534,1.843104,3,119.9,171.0
48.927023,1.842834,3,119.96,154.0
48.930918,1.842744,3,119.96,154.0
48.946496,1.842384,3,119.77,117.0
48.95039,1.842294,3,119.76,112.0
48.644718,1.854399,3,118.97,174.0
48.648612,1.854311,3,118.98,365.0
48.652507,1.854222,3,119.61,366.0
48.691454,1.853339,3,119.07,379.0
48.695348,1.85325,3,119.09,427.0
48.699243,1.853162,3,119.12,221.0
48.909549,1.848356,3,119.88,292.0
48.913444,1.848266,3,119.88,292.0
48.925127,1.847998,3,119.91,103.0
48.929022,1.847908,3,119.93,149.0
48.932916,1.847818,3,119.93,130.0
48.952389,1.84737,3,119.74,333.0
48.956283,1.84728,3,119.73,561.0
48.960177,1.847191,3,119.71,472.0
48.964072,1.847101,3,119.68,105.0
48.967966,1.847011,3,119.69,108.0
48.971861,1.846921,3,119.76,401.0
48.975755,1.846831,3,119.79,404.0
48.97965,1.846742,3,119.82,162.0
48.987439,1.846562,3,119.76,157.0
48.991333,1.846472,3,119.76,363.0
48.646715,1.859445,3,118.98,444.0
48.65061,1.859357,3,119.63,503.0
48.654505,1.859269,3,119.63,302.0
48.658399,1.859181,3,119.64,110.0
48.689557,1.858477,3,119.08,155.0
48.693451,1.858389,3,119.09,426.0
48.697346,1.858301,3,119.09,415.0
48.907653,1.853517,3,119.89,196.0
48.911548,1.853428,3,119.83,267.0
48.915442,1.853339,3,119.88,198.0
48.927125,1.853071,3,119.93,100.0
48.954387,1.852446,3,119.73,669.0
48.958281,1.852357,3,119.7,669.0
48.962176,1.852268,3,119.66,242.0
48.96607,1.852178,3,119.67,108.0
48.969965,1.852089,3,119.76,220.0
48.973859,1.852,3,119.78,404.0
48.977754,1.85191,3,119.79,382.0
48.989437,1.851642,3,119.75,286.0
48.993331,1.851552,3,119.75,321.0
49.028381,1.850746,3,119.99,104.0
48.644818,1.864578,3,119.67,158.0
48.648713,1.864491,3,119.66,503.0
48.652608,1.864404,3,119.65,503.0
48.656502,1.864316,3,119.64,131.0
48.660397,1.864229,3,119.69,108.0
48.691555,1.863528,3,119.11,136.0
48.695449,1.86344,3,119.14,137.0
48.909651,1.858589,3,119.82,248.0
48.913546,1.858501,3,119.83,248.0
48.95249,1.857612,3,119.73,296.0
48.956385,1.857523,3,119.73,634.0
48.960279,1.857434,3,119.67,554.0
48.964174,1.857345,3,119.65,120.0
48.968068,1.857256,3,119.68,123.0
48.971963,1.857167,3,119.76,168.0
48.975857,1.857078,3,119.78,130.0
48.991435,1.856722,3,119.75,115.0
48.995329,1.856633,3,119.75,114.0
49.030379,1.85583,3,119.99,104.0
48.646816,1.869625,3,119.68,156.0
48.650711,1.869538,3,119.7,155.0
48.693552,1.868579,3,119.11,110.0
48.697447,1.868492,3,119.87,110.0
48.857125,1.864897,3,120.0,140.0
48.86102,1.864809,3,119.95,138.0
48.907754,1.86375,3,119.84,152.0
48.911649,1.863662,3,119.83,247.0
48.915543,1.863574,3,119.81,220.0
48.954488,1.862689,3,119.73,384.0
48.958383,1.8626,3,119.69,420.0
48.962277,1.862512,3,119.69,261.0
48.966172,1.862423,3,119.75,141.0
48.970066,1.862335,3,119.71,113.0
48.993433,1.861803,3,119.75,114.0
48.695549,1.87363,3,119.88,112.0
48.699444,1.873543,3,119.85,101.0
48.812388,1.871015,3,119.88,114.0
48.816283,1.870928,3,119.86,112.0
48.855228,1.870052,3,119.91,125.0
48.859123,1.869964,3,119.92,142.0
48.909752,1.868823,3,119.83,177.0
48.913646,1.868735,3,119.83,185.0
48.917541,1.868647,3,119.86,134.0
48.921435,1.868559,3,119.86,103.0
48.952591,1.867854,3,119.75,116.0
48.956486,1.867766,3,119.7,420.0
48.96038,1.867678,3,119.69,421.0
48.964275,1.86759,3,119.69,146.0
48.968169,1.867502,3,119.75,141.0
48.693652,1.878768,3,119.86,111.0
48.697546,1.878682,3,119.86,119.0
48.814385,1.876078,3,119.85,118.0
48.853331,1.875207,3,119.9,124.0
48.857226,1.875119,3,119.91,105.0
48.888382,1.874421,3,119.99,109.0
48.911749,1.873896,3,119.88,180.0
48.915644,1.873808,3,119.86,180.0
48.919538,1.873721,3,119.86,104.0
48.923433,1.873633,3,119.88,103.0
48.954589,1.872932,3,119.76,203.0
48.958483,1.872844,3,119.79,231.0
48.962378,1.872756,3,119.76,181.0
48.966272,1.872668,3,119.79,164.0
49.083106,1.870026,3,119.98,111.0
49.087,1.869937,3,119.98,111.0
48.695648,1.88382,3,119.92,119.0
48.699543,1.883734,3,119.92,118.0
48.719016,1.883303,3,119.18,104.0
48.812488,1.881229,3,119.77,132.0
48.816382,1.881142,3,119.82,142.0
48.847539,1.880448,3,119.93,315.0
48.851434,1.880361,3,119.85,330.0
48.855328,1.880274,3,119.95,147.0
48.886485,1.879579,3,119.98,109.0
48.890379,1.879492,3,119.98,103.0
48.909852,1.879056,3,119.89,118.0
48.913746,1.878969,3,119.87,132.0
48.964375,1.877835,3,119.83,154.0
48.968269,1.877747,3,119.84,173.0
49.085103,1.875116,3,119.98,111.0
48.697645,1.888872,3,119.92,111.0
48.713224,1.888529,3,119.85,452.0
48.717118,1.888444,3,119.1,460.0
48.721013,1.888358,3,119.1,248.0
48.724908,1.888272,3,119.11,205.0
48.728802,1.888186,3,119.18,109.0
48.779433,1.887068,3,119.95,107.0
48.806695,1.886465,3,119.73,140.0
48.81059,1.886379,3,119.71,192.0
48.814484,1.886292,3,119.75,217.0
48.818379,1.886206,3,119.73,186.0
48.822274,1.88612,3,119.74,100.0
48.826168,1.886033,3,119.89,100.0
48.845641,1.885602,3,119.92,145.0
48.849536,1.885515,3,119.84,330.0
48.966372,1.882913,3,119.76,165.0
48.970266,1.882826,3,119.85,155.0
49.001422,1.88213,3,119.71,237.0
49.005317,1.882042,3,119.7,248.0
48.695747,1.89401,3,119.92,106.0
48.699641,1.893925,3,119.92,106.0
48.711325,1.893669,3,119.85,247.0
48.71522,1.893583,3,119.1,460.0
48.719115,1.893498,3,119.09,417.0
48.72301,1.893413,3,119.09,205.0
48.726904,1.893327,3,119.08,205.0
48.777535,1.892215,3,119.95,166.0
48.781429,1.892129,3,119.94,166.0
48.804797,1.891614,3,119.72,149.0
48.808692,1.891528,3,119.68,151.0
48.812586,1.891442,3,119.69,217.0
48.816481,1.891357,3,119.7,217.0
48.820376,1.891271,3,119.61,128.0
48.82427,1.891185,3,119.64,100.0
48.847638,1.890669,3,119.86,252.0
48.851532,1.890583,3,119.86,299.0
48.999525,1.887299,3,119.7,122.0
49.003419,1.887212,3,119.7,248.0
49.007314,1.887126,3,119.7,239.0
48.697743,1.899063,3,119.92,104.0
48.713322,1.898723,3,119.85,325.0
48.717216,1.898638,3,119.09,305.0
48.721111,1.898553,3,119.07,225.0
