lat,lon,hour,travel_time_min,population
48.940146,1.99616,3,83.66,281.0
48.938243,2.001319,3,83.66,193.0
49.043486,2.009476,3,110.96,451.0
49.047381,2.009399,3,110.96,1236.0
49.051276,2.009321,3,110.96,1374.0
49.045478,2.014568,3,110.96,1269.0
49.049372,2.014491,3,110.96,1912.0
49.049459,2.024754,3,110.96,1645.0
49.043661,2.029999,3,110.96,893.0
49.047555,2.029923,3,110.96,1468.0
49.05145,2.029847,3,110.96,1595.0
49.045651,2.035092,3,110.96,982.0
49.049546,2.035017,3,110.96,1471.0
49.043747,2.04026,3,110.96,626.0
49.047641,2.040186,3,110.96,771.0
49.051536,2.040111,3,110.96,853.0
49.05543,2.040036,3,110.96,740.0
49.049631,2.045279,3,110.96,853.0
49.03422,2.066097,3,110.96,454.0
49.02842,2.071335,3,110.96,569.0
49.032314,2.071263,3,110.96,692.0
49.036209,2.07119,3,110.96,724.0
49.040104,2.071118,3,110.96,640.0
49.043998,2.071045,3,110.96,522.0
49.026514,2.076501,3,110.96,569.0
49.030408,2.076428,3,110.96,589.0
49.034303,2.076356,3,110.96,724.0
49.038198,2.076284,3,110.96,724.0
49.042092,2.076212,3,110.96,546.0
49.049882,2.076068,3,110.96,437.0
49.053776,2.075996,3,110.96,411.0
49.024607,2.081665,3,110.96,567.0
49.028502,2.081594,3,110.96,596.0
49.032397,2.081522,3,110.96,687.0
49.036291,2.08145,3,110.96,746.0
49.040186,2.081379,3,110.96,726.0
49.044081,2.081307,3,110.96,651.0
49.047975,2.081235,3,110.96,658.0
49.05187,2.081163,3,110.96,876.0
49.026595,2.086759,3,110.96,620.0
49.03049,2.086687,3,110.96,620.0
49.034385,2.086616,3,110.96,753.0
49.038279,2.086545,3,110.96,754.0
49.042174,2.086473,3,110.96,686.0
49.046069,2.086402,3,110.96,660.0
49.049963,2.086331,3,110.96,736.0
49.053858,2.086259,3,110.96,884.0
49.057753,2.086188,3,110.96,874.0
49.028583,2.091852,3,110.96,619.0
49.032478,2.091781,3,110.96,663.0
49.036372,2.09171,3,110.96,718.0
49.040267,2.09164,3,110.96,675.0
49.044162,2.091569,3,110.96,723.0
49.048057,2.091498,3,110.96,746.0
49.051951,2.091427,3,110.96,868.0
49.055846,2.091356,3,110.96,890.0
49.03836,2.096805,3,110.96,329.0
49.042255,2.096735,3,110.96,617.0
49.046149,2.096664,3,110.96,880.0
49.050044,2.096594,3,110.96,882.0
49.053939,2.096523,3,110.96,894.0
49.036453,2.101971,3,110.96,327.0
49.040347,2.1019,3,110.96,327.0
49.044242,2.10183,3,110.96,854.0
49.048137,2.10176,3,110.96,880.0
49.052032,2.10169,3,110.96,889.0
49.055926,2.10162,3,110.96,886.0
49.03844,2.107066,3,110.96,897.0
49.042335,2.106996,3,110.96,974.0
49.046229,2.106926,3,110.96,838.0
49.050124,2.106857,3,110.96,820.0
49.054019,2.106787,3,110.96,396.0
49.036532,2.112231,3,110.96,1616.0
49.040427,2.112161,3,110.96,1616.0
49.044322,2.112092,3,110.96,968.0
49.048216,2.112023,3,110.96,817.0
49.052111,2.111953,3,110.96,598.0
49.034624,2.117395,3,110.96,829.0
49.038519,2.117326,3,110.96,1616.0
