lat,lon,hour,travel_time_min,population
45.053491,7.568626,3,106.33,510.0
45.051602,7.573436,3,106.33,123.0
45.05361,7.578148,3,106.33,493.0
45.075101,7.582379,3,106.07,566.0
45.078998,7.582283,3,98.47,460.0
45.053728,7.58767,3,106.33,268.0
45.065418,7.587382,3,98.47,1390.0
45.069315,7.587286,3,98.47,1371.0
45.073212,7.58719,3,98.47,566.0
45.077109,7.587094,3,98.47,566.0
45.020665,7.593243,3,110.23,436.0
45.059632,7.592288,3,98.47,160.0
45.063529,7.592192,3,98.47,762.0
45.071322,7.592001,3,98.47,919.0
45.075219,7.591905,3,98.47,1021.0
45.079116,7.591809,3,98.47,856.0
45.022672,7.597954,3,113.68,102.0
45.061639,7.597001,3,98.47,146.0
45.065536,7.596906,3,98.47,503.0
45.069433,7.596811,3,98.47,506.0
45.073329,7.596715,3,91.87,1262.0
45.077226,7.59662,3,98.47,1262.0
45.081123,7.596524,3,98.47,339.0
45.020782,7.602759,3,110.23,102.0
45.024678,7.602665,3,106.33,114.0
45.028575,7.60257,3,106.33,389.0
45.063646,7.601715,3,93.9,444.0
45.067543,7.60162,3,93.42,525.0
45.071439,7.601525,3,89.56,893.0
45.075336,7.60143,3,88.88,1264.0
45.079233,7.601335,3,93.91,1085.0
45.014995,7.607659,3,110.23,117.0
45.018891,7.607565,3,110.23,619.0
45.022788,7.60747,3,106.33,697.0
45.026685,7.607376,3,106.33,385.0
45.030582,7.607281,3,106.33,116.0
45.034478,7.607187,3,106.33,145.0
45.038375,7.607092,3,106.33,248.0
45.061756,7.606525,3,90.67,404.0
45.065653,7.60643,3,87.99,1342.0
45.069549,7.606335,3,84.72,1350.0
45.073446,7.606241,3,82.1,1319.0
45.077343,7.606146,3,86.54,1318.0
45.081239,7.606051,3,89.25,448.0
45.013104,7.612464,3,110.23,149.0
45.017001,7.61237,3,110.23,369.0
45.020898,7.612276,3,110.23,859.0
45.024794,7.612182,3,106.33,842.0
45.036485,7.611899,3,90.66,235.0
45.040382,7.611805,3,90.84,292.0
45.044278,7.611711,3,92.59,218.0
45.063762,7.611239,3,76.36,1168.0
45.067659,7.611145,3,75.16,1403.0
45.071556,7.61105,3,76.46,1365.0
45.075452,7.610956,3,80.92,1321.0
45.079349,7.610862,3,88.8,1173.0
45.011213,7.617269,3,106.33,210.0
45.01511,7.617175,3,106.33,218.0
45.019007,7.617081,3,106.33,741.0
45.022904,7.616987,3,106.33,829.0
45.026801,7.616893,3,100.68,430.0
45.034594,7.616706,3,87.07,140.0
45.038491,7.616612,3,85.7,636.0
45.042388,7.616518,3,86.43,664.0
45.046284,7.616424,3,81.65,366.0
45.050181,7.61633,3,79.1,362.0
45.054078,7.616236,3,78.38,362.0
45.057975,7.616142,3,77.54,367.0
45.061872,7.616048,3,69.8,663.0
45.065768,7.615954,3,67.87,1608.0
45.069665,7.61586,3,73.16,1619.0
45.073562,7.615766,3,72.56,1641.0
45.077459,7.615672,3,75.78,1656.0
45.081355,7.615578,3,79.89,852.0
45.085252,7.615483,3,81.34,477.0
45.089149,7.615389,3,89.2,365.0
45.100839,7.615107,3,98.47,202.0
45.104736,7.615012,3,106.07,207.0
45.108633,7.614918,3,98.47,246.0
