lat,lon,population,reachable_pois
45.480894,8.984974,159.0,6
45.484792,8.984973,300.0,27
45.48869,8.984972,293.0,28
45.523768,8.984962,351.0,3
45.527666,8.984961,450.0,5
45.478946,8.989772,217.0,33
45.482844,8.989772,346.0,33
45.486741,8.989771,376.0,33
45.490639,8.98977,188.0,27
45.517922,8.989765,258.0,0
45.52182,8.989765,356.0,3
45.525717,8.989764,386.0,6
45.529615,8.989763,486.0,7
45.4731,8.994571,682.0,33
45.476998,8.994571,1001.0,34
45.480895,8.99457,937.0,34
45.484793,8.99457,771.0,34
45.48869,8.994569,766.0,34
45.508178,8.994568,165.0,2
45.512076,8.994567,288.0,2
45.519871,8.994566,369.0,5
45.523769,8.994566,369.0,5
45.527666,8.994566,489.0,6
45.531564,8.994565,518.0,7
45.471151,8.999369,137.0,33
45.475049,8.999369,1004.0,34
45.478946,8.999368,1004.0,38
45.482844,8.999368,806.0,50
45.486742,8.999368,771.0,41
45.490639,8.999368,401.0,34
45.510127,8.999368,270.0,3
45.517923,8.999368,335.0,4
45.52182,8.999368,369.0,5
45.525718,8.999368,400.0,5
45.529615,8.999368,518.0,6
45.4731,9.004166,421.0,34
45.476998,9.004166,616.0,37
45.480895,9.004167,664.0,44
45.484793,9.004167,843.0,67
45.48869,9.004167,845.0,50
45.504281,9.004168,116.0,46
45.508178,9.004169,223.0,30
45.512076,9.004169,442.0,4
45.515974,9.004169,439.0,4
45.519871,9.00417,270.0,2
45.523769,9.00417,268.0,4
45.527666,9.00417,229.0,3
45.531564,9.00417,209.0,59
45.535462,9.004171,291.0,64
45.539359,9.004171,417.0,60
45.475049,9.008964,167.0,34
45.478946,9.008965,167.0,34
45.482844,9.008965,789.0,54
45.486741,9.008966,918.0,68
45.490639,9.008967,522.0,51
45.502332,9.008968,130.0,55
45.506229,9.008969,130.0,48
45.510127,9.00897,499.0,4
45.514025,9.00897,546.0,4
45.53741,9.008974,382.0,67
45.476997,9.013762,167.0,33
45.480894,9.013763,343.0,48
45.484792,9.013764,918.0,83
45.48869,9.013765,918.0,94
45.500383,9.013768,114.0,65
45.50428,9.013769,134.0,65
45.508178,9.01377,263.0,70
45.512075,9.013771,540.0,66
45.535461,9.013777,213.0,81
45.539358,9.013778,421.0,71
45.543256,9.013778,427.0,61
45.482843,9.018562,623.0,58
45.48674,9.018563,758.0,93
45.490638,9.018565,627.0,102
45.494535,9.018566,460.0,90
45.498433,9.018567,487.0,81
45.502331,9.018569,650.0,83
45.506228,9.01857,656.0,84
45.510126,9.018571,257.0,77
45.529614,9.018578,548.0,69
45.533511,9.018579,552.0,77
45.537409,9.01858,674.0,81
45.541307,9.018581,685.0,70
45.480893,9.02336,174.0,53
45.484791,9.023361,727.0,97
45.488688,9.023363,727.0,206
45.492586,9.023365,529.0,129
45.496483,9.023366,521.0,103
45.500381,9.023368,648.0,93
