lat,lon,population,reachable_pois
48.626832,1.819179,174.0,557
48.630726,1.819088,198.0,445
48.634621,1.818998,391.0,911
48.638516,1.818907,445.0,1023
48.64241,1.818816,558.0,1375
48.646305,1.818725,671.0,1155
48.624937,1.824313,128.0,578
48.628831,1.824222,229.0,686
48.632726,1.824132,270.0,620
48.636621,1.824041,450.0,1398
48.640515,1.82395,450.0,2479
48.64441,1.82386,656.0,2661
48.648304,1.823769,671.0,1831
48.652199,1.823679,440.0,968
48.656094,1.823588,294.0,606
48.626936,1.829355,205.0,560
48.63083,1.829265,194.0,907
48.634725,1.829175,399.0,1199
48.63862,1.829085,523.0,2720
48.642514,1.828995,584.0,4646
48.646409,1.828905,689.0,3246
48.650304,1.828814,688.0,1595
48.654198,1.828724,212.0,845
48.512094,1.837081,183.0,116
48.515988,1.836992,183.0,149
48.523778,1.836814,100.0,104
48.636724,1.834219,631.0,1826
48.640619,1.834129,631.0,3373
48.644513,1.834039,685.0,4490
48.648408,1.83395,700.0,2609
48.652303,1.83386,495.0,1127
48.656197,1.83377,194.0,572
48.660092,1.83368,179.0,259
48.780824,1.830885,108.0,71
48.510197,1.842202,237.0,76
48.514092,1.842113,252.0,98
48.517987,1.842025,160.0,150
48.521882,1.841936,105.0,120
48.634828,1.839353,321.0,829
48.638723,1.839263,631.0,1690
48.642617,1.839174,640.0,2427
48.646512,1.839085,692.0,2394
48.650407,1.838995,671.0,1349
48.654301,1.838906,232.0,942
48.681564,1.838279,158.0,140
48.685458,1.83819,187.0,121
48.689353,1.8381,149.0,87
48.693248,1.83801,119.0,43
48.512196,1.847234,250.0,59
48.51609,1.847146,238.0,88
48.636827,1.844397,237.0,697
48.640721,1.844308,192.0,1080
48.644616,1.844219,261.0,1270
48.648511,1.84413,319.0,1049
48.652405,1.844041,248.0,725
48.683562,1.843328,193.0,192
48.687457,1.843239,193.0,150
48.691352,1.84315,120.0,107
48.695246,1.84306,119.0,385
48.646614,1.849265,299.0,661
48.650509,1.849176,301.0,721
48.654404,1.849087,122.0,618
48.681666,1.848466,127.0,138
48.685561,1.848377,157.0,186
48.689455,1.848289,187.0,797
48.69335,1.8482,291.0,921
48.697245,1.848111,303.0,788
48.907551,1.843284,249.0,887
48.911445,1.843194,292.0,767
48.91534,1.843104,171.0,613
48.927023,1.842834,154.0,56
48.930918,1.842744,154.0,931
48.946496,1.842384,117.0,976
48.95039,1.842294,112.0,162
48.644718,1.854399,174.0,807
48.648612,1.854311,365.0,630
48.652507,1.854222,366.0,565
48.691454,1.853339,379.0,1299
48.695348,1.85325,427.0,1277
48.699243,1.853162,221.0,842
48.909549,1.848356,292.0,1670
48.913444,1.848266,292.0,1260
48.925127,1.847998,103.0,47
48.929022,1.847908,149.0,100
48.932916,1.847818,130.0,994
48.952389,1.84737,333.0,232
48.956283,1.84728,561.0,439
48.960177,1.847191,472.0,369
48.964072,1.847101,105.0,1606
48.967966,1.847011,108.0,4061
48.971861,1.846921,401.0,6943
48.975755,1.846831,404.0,4827
48.97965,1.846742,162.0,2065
48.987439,1.846562,157.0,2477
48.991333,1.846472,363.0,4796
48.646715,1.859445,444.0,485
48.65061,1.859357,503.0,419
48.654505,1.859269,302.0,426
48.658399,1.859181,110.0,300
48.689557,1.858477,155.0,1130
48.693451,1.858389,426.0,1897
48.697346,1.858301,415.0,1110
48.907653,1.853517,196.0,3036
48.911548,1.853428,267.0,2804
48.915442,1.853339,198.0,1377
48.927125,1.853071,100.0,46
48.954387,1.852446,669.0,356
48.958281,1.852357,669.0,460
48.962176,1.852268,242.0,636
48.96607,1.852178,108.0,2548
48.969965,1.852089,220.0,5326
48.973859,1.852,404.0,5948
48.977754,1.85191,382.0,3131
48.989437,1.851642,286.0,2335
48.993331,1.851552,321.0,2691
49.028381,1.850746,104.0,2
48.644818,1.864578,158.0,284
48.648713,1.864491,503.0,305
48.652608,1.864404,503.0,242
48.656502,1.864316,131.0,188
48.660397,1.864229,108.0,220
48.691555,1.863528,136.0,999
48.695449,1.86344,137.0,995
48.909651,1.858589,248.0,4030
48.913546,1.858501,248.0,2239
