lat,lon,population,reachable_pois
45.072577,7.391883,166.0,19
45.035629,7.397679,113.0,76
45.074592,7.39659,216.0,27
45.078489,7.396481,413.0,75
45.072711,7.401407,139.0,36
45.076607,7.401298,324.0,77
45.080504,7.401189,379.0,97
45.0844,7.401081,283.0,113
45.088296,7.400972,138.0,116
45.070829,7.406223,120.0,21
45.074726,7.406115,162.0,47
45.078622,7.406006,357.0,91
45.082518,7.405898,357.0,117
45.086415,7.40579,224.0,117
45.090311,7.405681,214.0,89
45.072844,7.410931,120.0,31
45.07674,7.410823,291.0,80
45.080637,7.410715,350.0,100
45.084533,7.410607,297.0,117
45.088429,7.410499,207.0,101
45.031998,7.416823,142.0,80
45.035894,7.416715,183.0,100
45.03979,7.416608,115.0,94
45.034012,7.421528,227.0,114
45.037908,7.421421,227.0,104
45.100251,7.419703,105.0,54
45.032129,7.42634,159.0,104
45.036026,7.426233,208.0,106
45.039922,7.426127,137.0,78
45.071094,7.425271,122.0,51
45.078886,7.425057,148.0,109
45.082783,7.42495,154.0,137
45.049729,7.43062,116.0,21
45.053625,7.430513,147.0,11
45.057522,7.430407,142.0,10
45.061418,7.4303,125.0,37
45.065315,7.430193,125.0,53
45.069211,7.430087,230.0,52
45.077004,7.429873,366.0,104
45.0809,7.429766,427.0,118
45.084797,7.42966,307.0,125
45.108175,7.429019,112.0,101
45.051742,7.435327,147.0,11
45.055639,7.435221,147.0,10
45.059535,7.435114,129.0,24
45.063432,7.435008,125.0,53
45.067328,7.434902,172.0,57
45.071225,7.434795,233.0,42
45.079017,7.434583,427.0,109
45.082914,7.434476,427.0,131
45.106292,7.433837,112.0,101
45.110189,7.43373,112.0,72
45.02648,7.440776,146.0,96
45.030377,7.44067,135.0,105
45.061549,7.439822,109.0,43
45.065445,7.439716,109.0,56
45.069342,7.43961,101.0,52
45.081031,7.439292,183.0,104
45.084927,7.439186,133.0,108
44.977839,7.446851,133.0,170
44.981735,7.446746,230.0,107
45.0207,7.445692,117.0,69
45.024597,7.445587,327.0,95
45.028493,7.445481,329.0,122
44.979852,7.451553,230.0,176
44.983748,7.451448,230.0,134
45.018817,7.450503,117.0,69
45.022713,7.450398,216.0,97
45.02661,7.450292,329.0,143
45.030506,7.450187,288.0,98
44.977968,7.45636,237.0,155
44.981864,7.456255,446.0,196
44.985761,7.45615,434.0,183
44.989657,7.456046,355.0,125
45.02083,7.455208,158.0,102
45.024726,7.455103,176.0,104
45.028623,7.454998,172.0,105
45.067588,7.453949,127.0,53
45.071484,7.453844,237.0,52
45.075381,7.453739,227.0,36
44.97998,7.461062,604.0,120
44.983877,7.460958,604.0,225
44.987773,7.460853,571.0,255
44.99167,7.460749,559.0,153
44.995566,7.460645,403.0,101
44.999463,7.46054,124.0,2
45.00336,7.460436,117.0,1
45.015049,7.460123,140.0,95
45.018946,7.460018,173.0,113
45.022842,7.459914,151.0,158
45.026739,7.459809,123.0,102
45.046221,7.459286,104.0,12
45.0696,7.458658,241.0,61
45.073497,7.458554,258.0,52
45.077393,7.458449,138.0,32
44.978096,7.465868,303.0,80
44.981993,7.465765,598.0,115
44.985889,7.465661,590.0,177
44.989786,7.465557,567.0,280
44.993682,7.465453,569.0,140
44.997579,7.465349,164.0,86
45.001475,7.465245,122.0,1
45.017061,7.464828,192.0,135
45.020958,7.464724,194.0,150
45.024855,7.46462,126.0,114
45.044337,7.464099,126.0,30
45.067716,7.463473,126.0,52
45.071613,7.463368,255.0,59
45.075509,7.463264,246.0,49
44.980108,7.470571,120.0,68
44.984005,7.470467,115.0,121
44.987901,7.470364,687.0,222
44.991798,7.47026,942.0,217
44.995694,7.470156,658.0,120
45.007384,7.469845,253.0,1
45.01128,7.469742,255.0,81
45.015177,7.469638,383.0,114
45.019074,7.469534,421.0,143
45.02297,7.46943,304.0,109
45.026867,7.469326,131.0,78
45.042453,7.468911,198.0,36
45.046349,7.468807,236.0,38
45.069728,7.468182,227.0,56
45.073625,7.468078,247.0,51
44.986016,7.475171,179.0,170
44.989913,7.475067,970.0,283
44.99381,7.474964,971.0,167
44.997706,7.474861,183.0,99
45.013292,7.474447,292.0,102
45.017189,7.474343,425.0,165
45.021086,7.47424,425.0,159
45.024982,7.474136,150.0,98
45.044465,7.473619,236.0,38
45.048361,7.473515,236.0,36
45.067844,7.472996,124.0,55
45.07174,7.472892,247.0,59
45.075637,7.472789,242.0,49
44.988028,7.479874,515.0,287
44.991925,7.479771,727.0,267
44.995821,7.479668,516.0,132
45.011408,7.479256,194.0,97
45.015304,7.479153,333.0,141
45.019201,7.47905,379.0,187
45.023097,7.478946,270.0,120
45.04258,7.47843,134.0,38
45.046477,7.478327,162.0,47
45.069856,7.477706,133.0,68
45.073752,7.477603,145.0,59
45.108821,7.476671,137.0,101
44.99004,7.484578,134.0,230
44.993936,7.484476,134.0,179
45.013419,7.483962,113.0,138
45.017316,7.483859,309.0,230
45.021212,7.483756,309.0,148
45.106936,7.481488,182.0,128
45.110833,7.481384,182.0,105
44.992051,7.489283,134.0,319
44.995948,7.48918,110.0,240
45.015431,7.488668,244.0,226
45.019327,7.488565,309.0,166
45.105051,7.486304,108.0,123
45.108948,7.486201,179.0,117
45.112844,7.486098,148.0,92
44.997959,7.493885,108.0,233
45.001855,7.493783,118.0,125
45.005752,7.493681,101.0,46
45.017442,7.493374,103.0,209
45.071994,7.491941,152.0,175
45.07589,7.491839,153.0,140
45.107062,7.491018,148.0,133
45.110959,7.490915,148.0,119
44.95321,7.49981,100.0,54
44.957107,7.499709,108.0,52
