lat,lon,kind
45.493165,9.1566918,pharmacy
45.4631277,9.1714179,pharmacy
45.4673146,9.1462773,pharmacy
45.4692748,9.1716393,pharmacy
45.4736023,9.134122,pharmacy
45.4723062,9.1320738,pharmacy
45.5392146,9.2274765,pharmacy
45.4871424,9.1665689,pharmacy
45.4899287,9.1644384,pharmacy
45.487272,9.161664,pharmacy
45.5007908,9.1969951,pharmacy
45.476627,9.2275004,university
45.4588621,9.1367521,pharmacy
45.4573486,9.1359476,pharmacy
45.5610245,9.2285762,supermarket
45.4959347,9.2036128,pharmacy
45.4948834,9.206843,pharmacy
45.4886862,9.1938501,pharmacy
45.5005982,9.1989025,pharmacy
45.5022624,9.1928491,pharmacy
45.4890824,9.1888085,pharmacy
45.4753307,9.2240785,pharmacy
45.5063941,9.198001,pharmacy
45.4879879,9.2418033,supermarket
45.4901442,9.1454007,supermarket
45.5003964,9.4248309,pharmacy
45.5012906,9.4306954,supermarket
45.5063787,9.4294226,supermarket
45.4990074,9.4229708,pharmacy
45.4492503,9.2057481,pharmacy
45.4508025,9.198035,supermarket
45.4489968,9.2028466,pharmacy
45.4510613,9.196581,pharmacy
45.4880185,9.1662268,supermarket
45.4887952,9.1650628,supermarket
45.4701092,9.1401362,pharmacy
45.4736718,9.1400924,pharmacy
45.4623188,9.1488458,supermarket
45.4914738,9.2371776,pharmacy
45.4863993,9.2408081,pharmacy
45.4892543,9.2418982,pharmacy
45.4862235,9.2343628,pharmacy
45.4859522,9.2262255,pharmacy
45.5152587,9.1940764,pharmacy
45.5001143,9.2350329,pharmacy
45.5026259,9.2387881,pharmacy
45.4959312,9.2252782,school
45.4892089,9.2192387,school
45.487047,9.1977011,pharmacy
45.4903622,9.1010367,pharmacy
45.4370222,9.1611937,pharmacy
45.4676994,9.1644493,pharmacy
45.4632787,9.1525194,pharmacy
45.4592238,9.1464763,pharmacy
45.5505413,9.1992021,pharmacy
45.4874588,9.1869698,pharmacy
45.4676117,9.1549326,pharmacy
45.4640671,9.1553131,supermarket
45.459516,9.1545654,pharmacy
45.5019609,9.1647025,pharmacy
45.5004259,9.1653078,supermarket
45.4998068,9.1673344,clinic
45.4388722,9.1626938,school
45.4376552,9.1552351,pharmacy
45.4441385,9.1578971,school
45.4444969,9.1578092,school
45.4405585,9.168998,pharmacy
45.4525222,9.1482316,pharmacy
45.5131734,9.2250893,pharmacy
45.4997816,9.2120587,pharmacy
45.4299896,9.2664527,pharmacy
45.5023385,9.1761108,pharmacy
45.5032088,9.1624836,pharmacy
45.4562458,9.1705708,pharmacy
45.4683645,9.1549991,supermarket
45.460574,9.1573636,pharmacy
45.454726,9.1517926,pharmacy
45.4631508,9.1326029,pharmacy
45.4954632,9.185228,supermarket
45.5144784,9.2077107,pharmacy
45.4544167,9.1712101,pharmacy
45.4522678,9.1858734,pharmacy
45.4675349,9.2062416,pharmacy
45.4676802,9.2100342,pharmacy
45.4675023,9.212546,supermarket
45.4675161,9.213487,pharmacy
45.4691354,9.2149241,pharmacy
45.4682474,9.2224194,supermarket
45.4676961,9.2227017,clinic
45.4674835,9.2234299,pharmacy
45.4741594,9.2184026,supermarket
45.4730318,9.2142721,pharmacy
45.4529486,9.1702611,pharmacy
45.4390473,9.1376124,school
45.4388937,9.1373558,school
45.4403199,9.1408611,school
45.440254,9.140735,school
45.5310952,9.2305058,pharmacy
45.5344492,9.2380382,pharmacy
45.4789657,9.1745128,pharmacy
45.4810928,9.1707797,pharmacy
45.531177,9.2342931,pharmacy
45.4736312,9.230597,pharmacy
45.4822506,9.2403259,pharmacy
45.5257778,9.2081576,pharmacy
45.5502703,9.2350363,school
45.5553623,9.2278556,pharmacy
45.5120915,9.2044026,pharmacy
45.5157608,9.1456692,pharmacy
45.5040853,9.4239655,pharmacy
45.4569428,9.1587002,supermarket
45.4611561,9.186629,university
45.5561565,9.185955,pharmacy
45.537287,9.2226716,pharmacy
45.5458631,9.2274637,pharmacy
45.5161146,9.2029996,pharmacy
45.4511658,9.1507525,pharmacy
45.4540379,9.1486073,pharmacy
45.5029136,9.2107939,school
45.4496681,9.1408467,pharmacy
45.5531921,9.1765761,doctors
45.5518016,9.1879204,doctors
45.5509504,9.1848221,pharmacy
45.5510234,9.1848127,doctors
45.5502133,9.177772,doctors
45.5498959,9.1773735,pharmacy
45.5499453,9.1772677,doctors
45.5515554,9.1880309,pharmacy
45.5564668,9.1917243,supermarket
45.5556118,9.1851914,supermarket
45.5506625,9.1758379,doctors
45.5509329,9.1767344,doctors
45.5522567,9.1863187,doctors
45.4437252,9.1791771,pharmacy
45.5836418,9.2727905,school
45.5454655,9.184555,doctors
45.4056673,9.0373178,pharmacy
45.5463988,9.1817068,doctors
45.5508818,9.1863172,doctors
45.5541549,9.1858675,doctors
45.5481541,9.1830111,doctors
45.5485138,9.1850589,doctors
45.5485197,9.1851285,pharmacy
45.4849193,9.2094923,pharmacy
45.4896545,9.2015409,pharmacy
45.4900947,9.1832224,pharmacy
45.5225744,9.2066697,pharmacy
45.5539478,9.2078282,school
45.5556189,9.2024321,doctors
45.5577614,9.2120685,doctors
45.5588201,9.2021455,supermarket
45.4569487,9.1753324,supermarket
