lat,lon,kind
48.7658322,2.162263,supermarket
48.7786,2.25354,supermarket
48.8491703,2.2010502,pharmacy
48.934061,2.20899,pharmacy
48.7302334,2.2397425,supermarket
48.799096,2.0692698,pharmacy
48.8028131,2.0615111,supermarket
48.8950807,2.2218977,pharmacy
48.7655832,2.1624395,pharmacy
48.7961064,2.1544137,pharmacy
48.806783,2.1309203,pharmacy
48.8071612,2.1325466,pharmacy
48.7848572,2.1824139,pharmacy
48.7857856,2.0511246,university
48.8304021,2.3248398,school
48.7951178,2.0661962,pharmacy
48.7988456,2.1277538,pharmacy
48.9313808,2.1583689,school
48.9254976,2.278123,school
48.7120738,2.3733865,supermarket
48.8527413,2.3333559,pharmacy
48.8468034,2.3697331,pharmacy
48.8242374,2.3651653,supermarket
48.8791573,2.2968683,marketplace
48.8242398,2.2739238,supermarket
48.8697522,2.4488547,school
48.8427695,2.3027722,pharmacy
48.8416259,2.3030314,pharmacy
48.8476756,2.5487414,supermarket
48.8435771,2.3052604,supermarket
48.8636025,2.4468218,school
48.8636332,2.4485512,school
48.8594532,2.4415141,school
48.8359056,2.2906833,supermarket
48.8592378,2.4364365,supermarket
48.9414154,2.2127719,pharmacy
48.9405247,2.2244706,pharmacy
48.8598508,2.3183041,pharmacy
48.854037,2.324019,pharmacy
48.8396302,2.546142,supermarket
48.9199485,2.3327844,college
48.8473649,2.5347332,school
48.8445701,2.5258247,pharmacy
48.9524851,2.312076,school
48.9524142,2.3113965,school
48.8837212,2.1699643,school
48.8832506,2.1708446,school
48.8384257,2.7122071,pharmacy
48.8379645,2.258237,supermarket
48.8623664,2.4429578,pharmacy
48.8861459,2.5335758,school
48.8972706,2.5639787,school
48.9120101,2.4808463,school
48.9122075,2.4793529,school
48.8693722,2.3551317,supermarket
48.8207696,2.2512358,supermarket
48.8380311,2.5548592,school
48.8545299,2.4223695,school
48.8541765,2.4218982,school
48.8997475,2.4973937,pharmacy
48.8579464,2.3012012,supermarket
48.8374062,2.4163948,school
48.8655996,2.3519365,supermarket
48.8535511,2.4188088,school
48.8536584,2.4195641,school
48.8368308,2.5604005,supermarket
48.8573257,2.4029932,supermarket
48.8533252,2.4057615,supermarket
48.8653489,2.4156657,supermarket
48.7791591,2.2825956,pharmacy
48.7786908,2.2800541,pharmacy
48.8622352,2.3395906,pharmacy
48.8621947,2.3416613,pharmacy
48.7532336,2.3065551,school
48.771158,2.413947,pharmacy
48.7643686,2.4051019,pharmacy
48.866451,2.3643006,pharmacy
48.8637841,2.3814177,doctors
48.8633561,2.3882344,pharmacy
48.8782025,2.373445,pharmacy
48.877532,2.3738783,pharmacy
48.8213864,2.3145933,college
48.8221145,2.313147,supermarket
48.7936719,2.5543389,supermarket
48.9927931,2.4284171,school
48.8275651,2.2807146,school
49.003201,2.4151516,clinic
48.5833366,2.24142,doctors
49.0328867,2.019702,pharmacy
49.03342,2.0211314,supermarket
49.0305985,2.0205073,pharmacy
48.94803,1.9225391,pharmacy
49.0380376,2.0815003,supermarket
48.9921947,2.2806449,pharmacy
49.0482829,2.0106145,pharmacy
48.7801232,2.2800883,pharmacy
48.8978357,2.089686,pharmacy
48.8241144,2.2726304,pharmacy
48.8468474,2.2861719,pharmacy
48.9242568,2.1873905,supermarket
48.8370582,2.2963339,pharmacy
48.8366804,2.2948576,supermarket
48.7542269,2.1871974,pharmacy
48.8047357,2.3268993,supermarket
48.7930959,2.4610953,pharmacy
48.7630399,2.4005576,pharmacy
48.8303333,2.3286779,supermarket
48.8111107,2.054105,school
48.8114861,2.0458096,pharmacy
48.8140857,2.0523433,supermarket
48.8317439,2.3618766,pharmacy
48.8332905,2.3609723,supermarket
48.8718988,2.3720288,pharmacy
48.7843742,2.4504487,school
48.8534094,2.3325318,supermarket
48.8412432,2.3252996,pharmacy
48.8640484,2.3781979,supermarket
48.8701219,2.3796681,pharmacy
48.8689687,2.3854808,pharmacy
48.9718915,2.3194804,school
48.8431992,2.3244536,pharmacy
48.8400818,2.3221697,supermarket
48.76982,2.0401593,pharmacy
48.795029,2.3662559,pharmacy
48.8584763,2.3805487,supermarket
48.7765266,1.9911208,pharmacy
48.6493269,2.3038004,pharmacy
48.8533798,2.4060817,pharmacy
48.8573349,2.4038534,pharmacy
48.7717355,2.4140577,supermarket
48.8517486,2.3881145,school
48.8515667,2.3867566,school
48.808878,2.2985799,pharmacy
