lat,lon,kind
45.0923795,7.7036213,supermarket
45.1230232,7.7421289,supermarket
45.0930426,7.7039847,pharmacy
45.092,7.713761,pharmacy
45.069025,7.6998815,pharmacy
45.0675499,7.6971035,pharmacy
45.0679781,7.6987576,supermarket
45.0712147,7.6960475,supermarket
45.0939972,7.7141297,supermarket
45.080921,7.691839,pharmacy
45.0807211,7.6731772,school
45.0713843,7.6077706,supermarket
45.0082329,7.538907,pharmacy
45.0057732,7.5412926,pharmacy
45.0089973,7.5308171,pharmacy
45.1073577,7.7512587,pharmacy
45.0412034,7.68255,school
45.0275014,7.4510334,school
45.0138646,7.817126,supermarket
45.0625208,7.6770144,pharmacy
45.1865682,7.7176973,school
45.022597,7.6476465,pharmacy
45.0413826,7.6715305,supermarket
44.9808399,7.750242,pharmacy
45.0409789,7.6363823,pharmacy
45.0417404,7.6369872,pharmacy
45.0423243,7.6402334,pharmacy
45.0349413,7.6435999,pharmacy
44.9713522,7.7779093,pharmacy
45.0640414,7.7016886,pharmacy
45.039091,7.634444,pharmacy
45.038418,7.629028,pharmacy
45.0390891,7.6312465,supermarket
45.0971051,7.4030236,pharmacy
44.95019,7.7730222,pharmacy
44.9466504,7.7719914,pharmacy
44.9841581,7.7402067,pharmacy
45.09484,7.701466,pharmacy
45.1267055,7.7122681,school
45.1960836,7.887115,school
45.1915583,7.8948609,hospital
45.1864537,7.8936968,supermarket
45.1862987,7.8884209,school
45.1863062,7.8880025,school
45.1925897,7.883947,school
45.190155,7.8861169,pharmacy
45.1879285,7.8869981,supermarket
45.1950888,7.892899,supermarket
45.1902877,7.8924269,pharmacy
45.1902337,7.8887635,pharmacy
45.1902454,7.8900631,pharmacy
45.0439804,7.6293661,pharmacy
45.0348668,7.6655454,supermarket
45.1007943,7.7330649,supermarket
45.010539,7.553291,pharmacy
45.0052114,7.6036683,pharmacy
45.0045654,7.5999161,pharmacy
45.0398493,7.6255219,supermarket
45.0411248,7.6207969,supermarket
45.0276231,7.5971712,pharmacy
45.2268815,7.7790748,supermarket
45.0656923,7.6840939,supermarket
45.0342752,7.6675409,university
45.0568874,7.6584159,pharmacy
45.0688153,7.6234736,supermarket
45.0513084,7.6497562,supermarket
45.0577298,7.6608846,supermarket
45.0946764,7.7154125,pharmacy
45.0955342,7.7119631,pharmacy
45.0056339,7.5308469,school
45.1075425,7.7512741,supermarket
45.1020894,7.7400107,supermarket
45.0581153,7.6506251,supermarket
45.0650915,7.692529,school
45.073373,7.6615087,marketplace
45.0582612,7.6831173,pharmacy
45.071164,7.5478688,pharmacy
45.0362076,7.6689058,supermarket
45.130354,7.5765803,school
45.1301815,7.5759621,school
45.1285321,7.5836701,pharmacy
45.0804014,7.6375677,pharmacy
45.0723583,7.6349567,pharmacy
45.0594169,7.6828733,supermarket
45.0589764,7.6811547,supermarket
45.0612167,7.6812389,supermarket
45.0582605,7.6465587,pharmacy
45.0832681,7.4323971,pharmacy
45.073677,7.662771,pharmacy
45.0754231,7.6353026,pharmacy
45.0060934,7.5430824,marketplace
45.0843452,7.6994135,pharmacy
45.1326676,7.577217,pharmacy
45.093684,7.6699678,supermarket
45.0906976,7.672861,supermarket
45.0526224,7.6574912,supermarket
45.1326121,7.6311876,supermarket
45.1286178,7.6407872,supermarket
45.1333823,7.6315402,pharmacy
44.9550622,7.7925346,supermarket
45.0538256,7.6536944,pharmacy
45.1092131,7.543502,supermarket
45.1012088,7.5476341,pharmacy
45.0067241,7.6010379,supermarket
45.0687498,7.603197,supermarket
44.9801275,7.6704411,pharmacy
45.068588,7.6244507,pharmacy
45.0498716,7.6324584,pharmacy
45.008773,7.8282437,supermarket
45.0111542,7.8252312,pharmacy
45.0117841,7.8246468,pharmacy
45.084485,7.656165,pharmacy
45.0822594,7.6539448,pharmacy
45.1248879,7.6506414,supermarket
45.2338249,7.6020877,pharmacy
45.1276918,7.6297485,pharmacy
45.0636461,7.5761867,supermarket
45.0715429,7.5433381,pharmacy
45.063142,7.579089,supermarket
45.1096635,7.6440611,supermarket
45.0754355,7.5057605,pharmacy
45.0386239,7.6423663,pharmacy
45.1526253,7.6582035,pharmacy
45.1522281,7.6600113,pharmacy
45.1504828,7.6550918,supermarket
45.1532446,7.6595693,marketplace
45.0814237,7.6563435,pharmacy
45.1291613,7.6375932,pharmacy
45.0095687,7.6571864,supermarket
45.0098127,7.5543012,supermarket
45.0900826,7.6833595,supermarket
44.9803839,7.7379514,supermarket
44.9804237,7.7382706,supermarket
45.0114773,7.5073065,supermarket
45.0875837,7.6687764,supermarket
45.063151,7.6240989,pharmacy
45.0651023,7.6899977,university
45.0636236,7.6887448,university
45.0693441,7.6891162,university
45.0732049,7.6844736,pharmacy
45.0639308,7.6234727,school
45.0585688,7.6777588,pharmacy
45.0642593,7.6784046,pharmacy
45.0560444,7.6818893,pharmacy
45.0608037,7.6849772,pharmacy
45.0623194,7.6855513,pharmacy
45.0667522,7.6828342,pharmacy
45.0605068,7.6458526,pharmacy
45.023853,7.5928186,pharmacy
45.0523908,7.6681566,pharmacy
45.0563214,7.6696935,pharmacy
45.0531567,7.6754412,pharmacy
45.0695144,7.6832464,pharmacy
45.0279573,7.6675936,pharmacy
45.0631972,7.6784932,pharmacy
45.0713185,7.6798051,pharmacy
45.0849873,7.7005539,doctors
45.0857801,7.6779624,supermarket
45.0826847,7.6790645,pharmacy
45.0857974,7.6809266,pharmacy
45.0656002,7.6493706,supermarket
44.9520297,7.7841999,supermarket
44.9996306,7.682806,university
45.0533909,7.6569302,pharmacy
45.0717418,7.6218374,pharmacy
45.0772767,7.5870945,supermarket
45.065608,7.677361,school
45.0656268,7.6772895,school
45.0683819,7.6775505,clinic
45.0691315,7.6784357,supermarket
45.0692877,7.652349,supermarket
45.0739004,7.6528065,supermarket
45.1040238,7.5544953,supermarket
45.1039425,7.5479119,pharmacy
45.0403616,7.6182531,pharmacy
45.1017901,7.6669472,pharmacy
45.0120073,7.6652485,pharmacy
45.0021217,7.6474985,pharmacy
45.0675807,7.6897297,university
45.1018876,7.6627566,supermarket
45.0946421,7.6504956,pharmacy
45.1025726,7.6683333,school
45.0366602,7.657993,supermarket
45.0489677,7.6396089,pharmacy
45.0986963,7.6925729,school
45.0656773,7.6888859,university
45.0652865,7.6882857,university
45.0374714,7.6404246,pharmacy
45.0467386,7.6346519,pharmacy
45.0240504,7.6545391,pharmacy
45.0204266,7.6463685,school
45.0212684,7.646744,school
45.0249267,7.641132,pharmacy
45.032323,7.648686,pharmacy
45.034202,7.6503159,pharmacy
45.040648,7.670813,pharmacy
45.063994,7.676202,pharmacy
45.0908422,7.6894553,pharmacy
45.0912579,7.6980196,pharmacy
45.0399782,7.64636,pharmacy
45.0362458,7.6351613,pharmacy
45.0271827,7.5162857,pharmacy
45.0683859,7.5241333,supermarket
45.0291728,7.6874672,pharmacy
45.0294204,7.6878154,doctors
45.0087559,7.6028682,supermarket
45.0805864,7.4008483,supermarket
45.0550943,7.6870107,university
44.9520921,7.769142,doctors
45.1014422,7.6409714,pharmacy
